iter	Passed	Remaining
405	7725	11303
406	7746	11287
407	7764	11266
408	7784	11248
409	7801	11227
410	7820	11208
411	7839	11187
412	7859	11171
413	7879	11152
414	7897	11132
415	7915	11112
416	7934	11092
417	7954	11075
418	7973	11056
419	7991	11036
420	8010	11017
421	8030	10999
422	8049	10979
423	8068	10960
424	8086	10940
425	8107	10923
426	8126	10904
427	8144	10884
428	8164	10866
429	8182	10845
430	8201	10827
431	8220	10808
432	8240	10791
433	8259	10771
434	8278	10752
435	8297	10732
436	8316	10714
437	8334	10694
438	8352	10674
439	8371	10654
440	8390	10635
441	8409	10616
442	8429	10598
443	8448	10579
444	8468	10562
445	8487	10542
446	8507	10524
447	8526	10505
448	8546	10487
449	8564	10467
450	8584	10449
451	8602	10430
452	8621	10410
453	8642	10393
454	8661	10374
455	8681	10357
456	8700	10337
457	8718	10317
458	8738	10300
459	8757	10280
460	8776	10261
461	8794	10241
462	8813	10222
463	8833	10204
464	8852	10185
465	8871	10166
466	8890	10146
467	8909	10127
468	8927	10107
469	8946	10088
470	8966	10070
471	8986	10053
472	9006	10035
473	9025	10015
474	9044	9996
475	9061	9975
476	9080	9956
477	9103	9940
478	9123	9923
479	9142	9904
480	9162	9885
481	9181	9866
482	9201	9849
483	9220	9830
484	9239	9811
485	9256	9789
486	9276	9771
487	9294	9752
488	9314	9733
489	9334	9715
490	9352	9695
491	9371	9675
492	9389	9656
493	9410	9638
494	9430	9621
495	9450	9602
496	9469	9583
497	9488	9564
498	9507	9545
499	9527	9527
500	9547	9509
501	9568	9492
502	9587	9473
503	9606	9454
504	9627	9436
505	9646	9417
506	9666	9400
507	9684	9379
508	9704	9361
509	9724	9342
510	9745	9325
511	9763	9305
512	9782	9287
513	9803	9269
514	9824	9251
515	9842	9232
516	9861	9213
517	9880	9193
518	9899	9174
519	9917	9154
520	9938	9137
521	9957	9117
522	9975	9098
523	9994	9078
524	10013	9059
525	10031	9039
526	10052	9022
527	10077	9008
528	10096	8989
529	10118	8973
530	10136	8952
531	10155	8933
532	10174	8914
533	10193	8895
534	10211	8875
535	10230	8856
536	10249	8836
537	10268	8817
538	10288	8799
539	10306	8779
540	10325	8760
541	10344	8741
542	10364	8723
543	10384	8704
544	10403	8685
545	10423	8667
546	10441	8647
547	10459	8626
548	10478	8607
549	10499	8590
550	10517	8570
551	10537	8551
552	10555	8532
553	10574	8513
554	10592	8493
555	10613	8475
556	10631	8455
557	10650	8436
558	10670	8418
559	10690	8399
560	10710	8381
561	10728	8361
562	10747	8342
563	10767	8323
564	10786	8304
565	10804	8284
566	10823	8265
567	10842	8246
568	10861	8227
569	10880	8208
570	10900	8189
571	10920	8171
572	10939	8152
573	10958	8132
574	10977	8113
575	10995	8094
576	11015	8075
577	11036	8057
578	11055	8038
579	11075	8020
580	11094	8000
581	11113	7982
582	11132	7962
583	11151	7943
584	11169	7923
585	11190	7905
586	11209	7886
587	11228	7867
588	11247	7848
589	11266	7829
590	11286	7810
591	11305	7791
592	11323	7771
593	11342	7752
594	11362	7733
595	11382	7715
596	11402	7696
597	11422	7678
598	11443	7660
599	11462	7641
600	11482	7622
601	11502	7604
602	11521	7585
603	11542	7567
604	11560	7547
605	11579	7528
606	11598	7509
607	11616	7489
608	11637	7471
609	11654	7451
610	11675	7433
611	11693	7413
612	11714	7395
613	11734	7376
614	11754	7358
615	11773	7339
616	11792	7320
617	11811	7301
618	11828	7280
619	11848	7262
620	11868	7243
621	11889	7225
622	11908	7206
623	11927	7187
624	11946	7167
625	11964	7148
626	11983	7128
627	12001	7109
628	12016	7087
629	12036	7069
630	12055	7049
631	12075	7031
632	12093	7011
633	12113	6992
634	12132	6973
635	12151	6954
636	12170	6935
637	12189	6916
638	12206	6896
639	12225	6877
640	12243	6857
641	12262	6837
642	12279	6817
643	12297	6797
644	12316	6778
645	12334	6758
646	12352	6739
647	12370	6719
648	12390	6701
649	12410	6682
650	12429	6663
651	12448	6644
652	12467	6625
653	12486	6605
654	12505	6587
655	12524	6567
656	12544	6548
657	12562	6529
658	12581	6510
659	12599	6490
660	12618	6471
661	12636	6451
662	12655	6432
663	12673	6413
664	12692	6393
665	12712	6375
666	12730	6355
667	12749	6336
668	12766	6316
669	12786	6297
670	12804	6278
671	12823	6259
672	12841	6239
673	12859	6219
674	12879	6201
675	12899	6182
676	12918	6163
677	12938	6144
678	12957	6125
679	12976	6106
680	12996	6087
681	13014	6068
682	13034	6049
683	13051	6029
684	13071	6010
685	13090	5992
686	13108	5972
687	13128	5953
688	13145	5933
689	13163	5913
690	13180	5894
691	13201	5875
692	13221	5857
693	13240	5837
694	13259	5818
695	13278	5799
696	13300	5782
697	13321	5763
698	13342	5745
699	13362	5726
700	13385	5709
701	13405	5690
702	13426	5672
703	13448	5654
704	13467	5635
705	13488	5616
706	13506	5597
707	13526	5578
708	13547	5560
709	13567	5541
710	13590	5524
711	13608	5504
712	13628	5485
713	13647	5466
714	13667	5447
715	13689	5430
716	13707	5410
717	13728	5391
718	13750	5373
719	13767	5354
720	13788	5335
721	13808	5316
722	13830	5298
723	13851	5280
724	13872	5262
725	13894	5243
726	13914	5224
727	13934	5206
728	13956	5188
729	13977	5169
730	13999	5151
731	14018	5132
732	14038	5113
733	14061	5095
734	14080	5076
735	14102	5058
736	14122	5039
737	14141	5020
738	14163	5002
739	14183	4983
740	14205	4965
741	14223	4945
742	14243	4926
743	14261	4907
744	14280	4888
745	14299	4868
746	14321	4850
747	14339	4830
748	14359	4812
749	14378	4792
750	14398	4774
751	14417	4754
752	14436	4735
753	14454	4715
754	14473	4696
755	14492	4677
756	14512	4658
757	14532	4639
758	14550	4619
759	14568	4600
760	14589	4581
761	14610	4563
762	14629	4544
763	14643	4523
764	14662	4504
765	14678	4484
766	14697	4464
767	14716	4445
768	14736	4426
769	14755	4407
770	14773	4388
771	14792	4368
772	14813	4350
773	14834	4331
774	14852	4312
775	14873	4293
776	14891	4273
777	14911	4254
778	14932	4236
779	14951	4217
780	14970	4197
781	14990	4178
782	15013	4160
783	15031	4141
784	15050	4122
785	15069	4102
786	15088	4083
787	15106	4064
788	15127	4045
789	15145	4026
790	15164	4006
791	15183	3987
792	15203	3968
793	15225	3950
794	15244	3930
795	15264	3911
796	15284	3893
797	15304	3874
798	15325	3855
799	15344	3836
800	15364	3817
801	15383	3797
802	15403	3778
803	15424	3760
804	15443	3741
805	15464	3722
806	15485	3703
807	15503	3683
808	15524	3665
809	15544	3646
810	15562	3626
811	15583	3607
812	15603	3588
813	15624	3570
814	15643	3550
815	15661	3531
816	15680	3512
817	15700	3493
818	15718	3473
819	15740	3455
820	15760	3436
821	15778	3416
822	15797	3397
823	15817	3378
824	15838	3359
825	15859	3340
826	15878	3321
827	15896	3302
828	15914	3282
829	15934	3263
830	15954	3244
831	15972	3225
832	15990	3205
833	16008	3186
834	16029	3167
835	16050	3148
836	16068	3129
837	16087	3109
838	16104	3090
839	16124	3071
840	16148	3052
841	16171	3034
842	16189	3015
843	16207	2995
844	16226	2976
845	16244	2957
846	16261	2937
847	16280	2918
848	16298	2898
849	16318	2879
850	16337	2860
851	16361	2842
852	16388	2824
853	16415	2806
854	16440	2788
855	16457	2768
856	16476	2749
857	16493	2729
858	16510	2710
859	16534	2691
860	16558	2673
861	16584	2655
862	16604	2635
863	16621	2616
864	16639	2596
865	16653	2576
866	16673	2557
867	16691	2538
868	16711	2519
869	16728	2499
870	16748	2480
871	16767	2461
872	16787	2442
873	16807	2423
874	16825	2403
875	16845	2384
876	16866	2365
877	16891	2347
878	16910	2327
879	16930	2308
880	16948	2289
881	16967	2270
882	16986	2250
883	17006	2231
884	17026	2212
885	17046	2193
886	17064	2173
887	17082	2154
888	17101	2135
889	17119	2115
890	17140	2096
891	17157	2077
892	17176	2058
893	17196	2038
894	17214	2019
895	17234	2000
896	17253	1981
897	17271	1961
898	17291	1942
899	17309	1923
900	17327	1903
901	17345	1884
902	17365	1865
903	17383	1846
904	17402	1826
905	17422	1807
906	17441	1788
907	17461	1769
908	17480	1749
909	17500	1730
910	17518	1711
911	17537	1692
912	17557	1673
913	17575	1653
914	17594	1634
915	17608	1614
916	17626	1595
917	17645	1576
918	17664	1556
919	17682	1537
920	17701	1518
921	17720	1499
922	17739	1479
923	17757	1460
924	17776	1441
925	17795	1422
926	17813	1402
927	17832	1383
928	17853	1364
929	17872	1345
930	17891	1325
931	17910	1306
932	17929	1287
933	17949	1268
934	17968	1249
935	17988	1229
936	18007	1210
937	18027	1191
938	18044	1172
939	18063	1152
940	18082	1133
941	18101	1114
942	18121	1095
943	18140	1076
944	18158	1056
945	18177	1037
946	18196	1018
947	18217	999
948	18236	980
949	18256	960
950	18274	941
951	18293	922
952	18313	903
953	18332	883
954	18353	864
955	18371	845
956	18390	826
957	18409	807
958	18428	787
959	18449	768
960	18467	749
961	18488	730
962	18508	711
963	18527	691
964	18547	672
965	18565	653
966	18586	634
967	18607	615
968	18627	595
969	18646	576
970	18665	557
971	18684	538
972	18704	519
973	18723	499
974	18743	480
975	18764	461
976	18784	442
977	18803	422
978	18822	403
979	18841	384
980	18859	365
981	18879	346
982	18897	326
983	18917	307
984	18935	288
985	18955	269
986	18974	249
987	18994	230
988	19013	211
989	19030	192
990	19050	173
991	19069	153
992	19089	134
993	19107	115
994	19125	96
995	19145	76
996	19165	57
997	19185	38
998	19206	19
999	19226	0
