iter	Accuracy	Logloss
0	0.6957691733	0.6863313235
1	0.7035431305	0.679985455
2	0.7035929636	0.6739795573
3	0.7066826132	0.6685017968
4	0.7066826132	0.6634899313
5	0.7059849504	0.6586326337
6	0.7066826132	0.653690207
7	0.7060347835	0.6491909023
8	0.7062839488	0.6449940664
9	0.7062839488	0.6406370219
10	0.7062839488	0.6367428415
11	0.7062839488	0.6332455317
12	0.7059849504	0.6296628175
13	0.7059849504	0.6265820344
14	0.7059849504	0.623617534
15	0.7059849504	0.6204776642
16	0.7059849504	0.6177402643
17	0.7064334479	0.6150918272
18	0.7064334479	0.6124556738
19	0.7064334479	0.6103055461
20	0.7064334479	0.6079923356
21	0.7064334479	0.6058167382
22	0.7064334479	0.6036865
23	0.7064334479	0.6018311097
24	0.7064334479	0.5998113934
25	0.7064334479	0.5980230243
26	0.7060347835	0.5964589086
27	0.7060347835	0.5949633453
28	0.7063836149	0.5934858965
29	0.7063836149	0.592165955
30	0.7060347835	0.5909963716
31	0.7060347835	0.5896084527
32	0.7060347835	0.5882534586
33	0.7060347835	0.5870915207
34	0.7060347835	0.5858666053
35	0.7060347835	0.5848098954
36	0.7058354512	0.5839613845
37	0.7058354512	0.582862631
38	0.7058354512	0.5819353109
39	0.7058354512	0.5810311984
40	0.7058354512	0.580183624
41	0.7058354512	0.5794799736
42	0.7057357851	0.5786952658
43	0.7057357851	0.5780119315
44	0.7057357851	0.5773470787
45	0.7057357851	0.5766671498
46	0.7056859521	0.5760423245
47	0.7057856182	0.5755406339
48	0.7057856182	0.5748445333
49	0.7057856182	0.5743212548
50	0.7057856182	0.5739010593
51	0.7057856182	0.5733405221
52	0.7057856182	0.5729092623
53	0.7057856182	0.5724523701
54	0.7057856182	0.5719309331
55	0.7057856182	0.5715956246
56	0.7057856182	0.5711509406
57	0.7057856182	0.5707178468
58	0.705636119	0.5703944224
59	0.705636119	0.5700286725
60	0.705636119	0.569736327
61	0.705636119	0.5693508061
62	0.705636119	0.568964547
63	0.705636119	0.5685573831
64	0.705636119	0.568190301
65	0.705636119	0.5678646434
66	0.705636119	0.5676534217
67	0.705636119	0.5673734816
68	0.705636119	0.5671920367
69	0.705636119	0.5669529841
70	0.705636119	0.5667882297
71	0.705636119	0.5665443173
72	0.705636119	0.5663391865
73	0.705636119	0.5661038438
74	0.705636119	0.5659044845
75	0.705636119	0.5656865772
76	0.705636119	0.5655403638
77	0.705636119	0.5653688091
78	0.705636119	0.5651776817
79	0.705636119	0.5649947429
80	0.705636119	0.5649250912
81	0.705636119	0.5647314995
82	0.705636119	0.564592215
83	0.705636119	0.564457236
84	0.705636119	0.5643209724
85	0.705636119	0.5642032944
86	0.705636119	0.5640205658
87	0.705636119	0.56395004
88	0.705636119	0.5638766698
89	0.705636119	0.5637202675
90	0.705636119	0.5636719282
91	0.705636119	0.5636071606
92	0.705636119	0.5635110894
93	0.705636119	0.5633613008
94	0.705636119	0.5632997516
95	0.705636119	0.5631388028
96	0.705636119	0.5630941126
97	0.705636119	0.5629612914
98	0.705636119	0.5628640925
99	0.705636119	0.5628077454
